time,src,dst,protocol,alert
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,192.168.29.110,52.13.54.113,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,52.13.54.113,192.168.29.110,6,
19:20:14,192.168.29.110,52.13.54.113,6,
19:20:14,192.168.29.110,52.13.54.113,6,
19:20:14,192.168.29.110,52.13.54.113,6,
19:20:14,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,52.13.54.113,192.168.29.110,6,
19:20:15,192.168.29.110,52.13.54.113,6,
19:20:15,192.168.29.110,224.0.0.22,2,
19:20:15,192.168.29.122,224.0.0.251,17,⚠️ ML Flagged as Anomaly
19:20:27,192.168.29.110,224.0.0.22,2,
19:20:27,192.168.29.122,239.255.255.250,17,⚠️ ML Flagged as Anomaly
19:20:40,170.72.239.201,192.168.29.110,6,
19:20:40,192.168.29.110,170.72.239.201,6,
19:20:40,170.72.239.201,192.168.29.110,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,18.67.195.155,192.168.29.110,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,18.67.195.155,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:40,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,18.67.195.155,192.168.29.110,6,
19:20:41,192.168.29.110,52.13.54.113,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
19:20:41,52.13.54.113,192.168.29.110,6,
